Nama,Rating,Tanggal,Ulasan
Iskandar F.,10,08/12/2021,"Tempat yang sempurna untuk tinggal. Tempat tidur super nyaman, sarapan dan kolam renang juga gym. Tentu saja saya tidak bisa menggunakan gym atau kolam renang karena ditutup karena covid. Tapi tetap duduk di tepi kolam renang di malam hari sangat menenangkan. Dan sarapannya masih sepuasnya, tetapi Anda harus memilih dan mengambilnya (staf akan membantu Anda mengemasnya)."
Sofianingtyas F. S.,10,03/28/2021,"Pertama-tama saya ingin mengatakan: Luar biasa! Saya suka keramahan staf. Keramahan mereka memadai, tidak terlalu murahan, dan saya suka itu. Saya datang sekitar jam 5 sore plus dan karena overbooked untuk tipe kamar saya, mereka meningkatkan tipe kamar saya menjadi plus (Tanpa biaya tambahan). Kamar plus ini memiliki balkon. Secara teknis saya memiliki istirahat yang berkualitas di sana. Lantai tempat saya menginap tidak berisik, tidak ada lingkungan yang bising, saya memiliki balkon sendiri, saya dapat melihat ke luar, matahari terbenam, bulan purnama, begitu banyak masjid yang membuat saya merasa seperti di rumah sendiri. Makanan juga cocok dengan selera pribadi saya. Mereka benar-benar menempatkan protokol kesehatan selama pandemi ini. Hargai kerja keras staf. Di dalam kamar juga dipasang filter sirkulasi udara untuk memastikan kenyamanan tamu menginap. Saya baru saja check-out dan saya sudah rindu untuk menginap lagi. Pertahankan kerja kerasnya, guys! ??"
Muhammad D.,10,09/14/2021,Saya memiliki pengalaman paling nyaman.
Iskandar F.,10,08/12/2021,"Tempat yang sempurna untuk tinggal. Tempat tidur super nyaman, sarapan dan kolam renang juga gym. Tentu saja saya tidak bisa menggunakan gym atau kolam renang karena ditutup karena covid. Tapi tetap duduk di tepi kolam renang di malam hari sangat menenangkan. Dan sarapannya masih sepuasnya, tetapi Anda harus memilih dan mengambilnya (staf akan membantu Anda mengemasnya)."
Sofianingtyas F. S.,10,03/28/2021,"Pertama-tama saya ingin mengatakan: Luar biasa! Saya suka keramahan staf. Keramahan mereka memadai, tidak terlalu murahan, dan saya suka itu. Saya datang sekitar jam 5 sore plus dan karena overbooked untuk tipe kamar saya, mereka meningkatkan tipe kamar saya menjadi plus (Tanpa biaya tambahan). Kamar plus ini memiliki balkon. Secara teknis saya memiliki istirahat yang berkualitas di sana. Lantai tempat saya menginap tidak berisik, tidak ada lingkungan yang bising, saya memiliki balkon sendiri, saya dapat melihat ke luar, matahari terbenam, bulan purnama, begitu banyak masjid yang membuat saya merasa seperti di rumah sendiri. Makanan juga cocok dengan selera pribadi saya. Mereka benar-benar menempatkan protokol kesehatan selama pandemi ini. Hargai kerja keras staf. Di dalam kamar juga dipasang filter sirkulasi udara untuk memastikan kenyamanan tamu menginap. Saya baru saja check-out dan saya sudah rindu untuk menginap lagi. Pertahankan kerja kerasnya, guys! ??"
Putri R.,10,11/11/2020,"Kali ini liburan keluarga saat akhir pekan panjang, semuanya bagus, kamar bersih, staf baik, pertahankan??"
Putri R.,10,11/11/2020,"Kali ini liburan keluarga saat akhir pekan panjang, semuanya bagus, kamar bersih, staf baik, pertahankan??"
Pixie,10,09/21/2020,Senang sekali menginap disini. Semua staf sangat ramah. Menu untuk sarapan benar-benar luar biasa dan banyak pilihan untuk saya. Next time bakalan menginap disini lagi???
Pixie,10,09/21/2020,Senang sekali menginap disini. Semua staf sangat ramah. Menu untuk sarapan benar-benar luar biasa dan banyak pilihan untuk saya. Next time bakalan menginap disini lagi???
Rizka Z. P.,10,02/24/2019,"Aaah, aku sangat suka hotel ini."
Rizka Z. P.,10,02/24/2019,"Aaah, aku sangat suka hotel ini."
Moko T. S.,10,06/12/2018,"semua sempurna, bermanfaat, makanan lezat, percayalah."
Arief S. W.,10,05/30/2018,Hotel yang bagus dengan harga terjangkau.
Moko T. S.,10,06/12/2018,"semua sempurna, bermanfaat, makanan lezat, percayalah."
Arief S. W.,10,05/30/2018,Hotel yang bagus dengan harga terjangkau.
Ainun N.,10,05/14/2018,Ruang keluarga luar biasa untuk liburan keluarga.
Ainun N.,10,05/14/2018,Ruang keluarga luar biasa untuk liburan keluarga.
Antony,10,11/17/2017,Hotel yang bagus. Mereka baru buka 3 bulan yang lalu. Tempatnya bersih dan rapi.
Antony,10,11/17/2017,Hotel yang bagus. Mereka baru buka 3 bulan yang lalu. Tempatnya bersih dan rapi.
hendra s.,10,11/09/2017,"fasilitas, layanan dan lokasi yang baik"
Priscilla N.,10,10/23/2017,"Puas! Pelayanan yang baik, kamar yang bagus. Teruskan!"
Anju P. B.,10,10/21/2017,Menakjubkan tinggal. Suka para staf. Hotel ini baru.
hendra s.,10,11/09/2017,"fasilitas, layanan dan lokasi yang baik"
Priscilla N.,10,10/23/2017,"Puas! Pelayanan yang baik, kamar yang bagus. Teruskan!"
Anju P. B.,10,10/21/2017,Menakjubkan tinggal. Suka para staf. Hotel ini baru.
Elsa F.,10,08/14/2021,This accommodation is good for stay cation in the weekend. Room is clean and comfortable. Really enjoy the weekend here. Breakfast is good and delicious
Elsa F.,10,08/14/2021,This accommodation is good for stay cation in the weekend. Room is clean and comfortable. Really enjoy the weekend here. Breakfast is good and delicious
Hardi S.,9.7,04/17/2023,Semua bagus namun ada hal sedikit yang kurang memuaskan saat sahur. Sebagian makanan ya dingin seperti telor ya.
Omi M.,9.7,04/06/2023,Bagus semuanya. Kamar lega. Recommended aston.
Rike,9.7,03/30/2023,"Pelayanan staff hotel sangat ramah, kamar hotel nyaman dan bersih. Walaupun kami tidak mendapatkan view kamar sesuai request tapi setidaknya saat kami check in kami sudah diinfokan. Anak-anak suka menginap di sini. Lain kali kalau ke Batam akan menginap kembali di hotel ini. Semoga performa pelayanan dan fasilitasnya tetap terjaga."
Eko A.,9.7,02/21/2023,"Menyenangkan bawa 2 orang anak menginap di Aston Batam Hotel & Residence. Saya pesan kamar studio 2 malam, sampi di hotel alhamdulillah kamar saya diupgrade ke deluxe tanpa biaya tambahan. Terima kasih Aston Batam Hotel & Residence. Kamarnya sangat luas, bersih dan tenang lengkap dengan bathtubnya lagi. Kolam anaknya juga besar dan airnya bersih. Lokasinya pun strategis 5 menit pakai taxi online ke Nagoya Hill Mall dan Nagoya Citywalk. Terima kasih juga staf yang bernama Inal karena travel bag saya diantar langsung ke kamar. Lain kali saya pasti ke sini lagi. 10 bintang buat hotel ini."
Darto T.,9.7,01/28/2023,"Hotel nyaman, lokasi bagus, rarapan juga enak, dan yang menarik tempat gym yang alatnya juga banyak. Yang mau hidup sehat cocok tinggal di sini ?."
Eko A.,9.7,02/21/2023,"Menyenangkan bawa 2 orang anak menginap di Aston Batam Hotel & Residence. Saya pesan kamar studio 2 malam, sampi di hotel alhamdulillah kamar saya diupgrade ke deluxe tanpa biaya tambahan. Terima kasih Aston Batam Hotel & Residence. Kamarnya sangat luas, bersih dan tenang lengkap dengan bathtubnya lagi. Kolam anaknya juga besar dan airnya bersih. Lokasinya pun strategis 5 menit pakai taxi online ke Nagoya Hill Mall dan Nagoya Citywalk. Terima kasih juga staf yang bernama Inal karena travel bag saya diantar langsung ke kamar. Lain kali saya pasti ke sini lagi. 10 bintang buat hotel ini."
Darto T.,9.7,01/28/2023,"Hotel nyaman, lokasi bagus, rarapan juga enak, dan yang menarik tempat gym yang alatnya juga banyak. Yang mau hidup sehat cocok tinggal di sini ?."
Firman H.,9.7,08/13/2022,"Suka. Harga yang pas. Makanannya enak. Lokasinya juga dekat kemana mana, staffnya juga ramah. Karena kemaren checkout di hari jumat minta izin untuk selesain jumat checkout karena bawak 3 bayi dan di bolehkan. Mantap."
Firman H.,9.7,08/13/2022,"Suka. Harga yang pas. Makanannya enak. Lokasinya juga dekat kemana mana, staffnya juga ramah. Karena kemaren checkout di hari jumat minta izin untuk selesain jumat checkout karena bawak 3 bayi dan di bolehkan. Mantap."
Irma S.,9.7,06/29/2022,Hanya makanannya agak asin pd hari pertama kami nginap.
zeth y. t.,9.7,06/01/2022,Kamarnya sangat nyaman dan juga pelayanannya sangat baik.
Irma S.,9.7,06/29/2022,Hanya makanannya agak asin pd hari pertama kami nginap.
zeth y. t.,9.7,06/01/2022,Kamarnya sangat nyaman dan juga pelayanannya sangat baik.
Martinus I.,9.7,05/24/2022,"Lokasi strategis, hanya 10 menit dari nagoya. Hotel juga bagus. Kolam renangnya cantik sekali, apalagi waktu malam hari. Tempat sarapan juga luas dengan menu yang bervariasi."
Hendrik P.,9.7,05/21/2022,"Nyaman, lega, bersih dan petugasnya ramah."
Zein A.,9.7,05/19/2022,"Recommended, kamarnya bersih, resepsionis ramah walaupun pas check in agak lama, nunggu setengah jam karena kamarnya masih dibersihkan, sarapan enak. Overall bagus."
Tri D. W.,9.7,05/06/2022,Petugas nya ramah serta pelayanan dan fasilitas kamarnya memuaskan.
Martinus I.,9.7,05/24/2022,"Lokasi strategis, hanya 10 menit dari nagoya. Hotel juga bagus. Kolam renangnya cantik sekali, apalagi waktu malam hari. Tempat sarapan juga luas dengan menu yang bervariasi."
Hendrik P.,9.7,05/21/2022,"Nyaman, lega, bersih dan petugasnya ramah."
Zein A.,9.7,05/19/2022,"Recommended, kamarnya bersih, resepsionis ramah walaupun pas check in agak lama, nunggu setengah jam karena kamarnya masih dibersihkan, sarapan enak. Overall bagus."
Tri D. W.,9.7,05/06/2022,Petugas nya ramah serta pelayanan dan fasilitas kamarnya memuaskan.
Cicyllia Y.,9.7,04/11/2022,"Hotelnya bersih, nyaman, hanya makanannya kurang enak menurut saya,"
Wieddya,9.7,Profil ini privat.,"Pengalaman yang menyenangkan menginap di Aston. Sarapan juga oke dan banyak variasi makanannya. Untuk kamar 417 semoga lemari pendinginnya diganti ya, kemarin lemari pendinginnya malah hangat, tapi ketika di protes langsung dibawain penggantinya, cuma jadi ada 2 lemari pendingin di kamar dan agak makan tempat."
Cicyllia Y.,9.7,04/11/2022,"Hotelnya bersih, nyaman, hanya makanannya kurang enak menurut saya,"
Wieddya,9.7,Profil ini privat.,"Pengalaman yang menyenangkan menginap di Aston. Sarapan juga oke dan banyak variasi makanannya. Untuk kamar 417 semoga lemari pendinginnya diganti ya, kemarin lemari pendinginnya malah hangat, tapi ketika di protes langsung dibawain penggantinya, cuma jadi ada 2 lemari pendingin di kamar dan agak makan tempat."
Anissa R. R.,9.7,03/08/2022,"Hotelnya bagus, cantik, keren ??."
Hardi S.,9.7,03/07/2022,Sangat memuaskan pelayanan dan kebersihannya.
yossie,9.7,02/21/2022,"Untuk kamar yang saya ambil tipe family, jadi luas kamarnya dan bersih. Pelayanan staff hotel juga baik. Menu makanan banyak variasinya dan enak. Lokasi strategis."
Muhammad A.,9.7,02/02/2022,"Semuanya cukup baik staff pelayanan, semangat terus hotelier."
Erwin A. s.,9.7,01/31/2022,Mungkin ini ke 10 kali atau lebih menginap di sini. Aston the best in Batam.
Anissa R. R.,9.7,03/08/2022,"Hotelnya bagus, cantik, keren ??."
Hardi S.,9.7,03/07/2022,Sangat memuaskan pelayanan dan kebersihannya.
yossie,9.7,02/21/2022,"Untuk kamar yang saya ambil tipe family, jadi luas kamarnya dan bersih. Pelayanan staff hotel juga baik. Menu makanan banyak variasinya dan enak. Lokasi strategis."
Muhammad A.,9.7,02/02/2022,"Semuanya cukup baik staff pelayanan, semangat terus hotelier."
Erwin A. s.,9.7,01/31/2022,Mungkin ini ke 10 kali atau lebih menginap di sini. Aston the best in Batam.
Herawati U.,9.7,01/13/2022,Hotel ini cocok untuk bisnis Dan wisata dekat kemana mana layanan menyenangkan.
Afriyanto S.,9.7,01/09/2022,"Akomodasi ini sangat nyaman, dan dekat dari tempat menarik lainnya di Batam."
angga s.,9.7,01/06/2022,"Staff super ramah, sarapan enak, kamar hotel bersih. Next time saya balik lagi. Goodjob Aston Batam ?."
Yeni D. P.,9.7,01/01/2022,"Hotelnya dekat ke mana aja, resepsionis ramah kamar besar dan nyaman sayang sarapan nya biasa aja, ada beberapa makanan yang kurang rasa"
Herawati U.,9.7,01/13/2022,Hotel ini cocok untuk bisnis Dan wisata dekat kemana mana layanan menyenangkan.
Afriyanto S.,9.7,01/09/2022,"Akomodasi ini sangat nyaman, dan dekat dari tempat menarik lainnya di Batam."
angga s.,9.7,01/06/2022,"Staff super ramah, sarapan enak, kamar hotel bersih. Next time saya balik lagi. Goodjob Aston Batam ?."
Yeni D. P.,9.7,01/01/2022,"Hotelnya dekat ke mana aja, resepsionis ramah kamar besar dan nyaman sayang sarapan nya biasa aja, ada beberapa makanan yang kurang rasa"
Riduan k. M.,9.7,12/25/2021,Pelayanan rama dan menjelaskan detail.
weni e.,9.7,12/11/2021,"Hotelnya mantap lah, jangan ditanya lagi. Yang paling mantap dapet setengah harga promo. Makasih traveloka."
Riduan k. M.,9.7,12/25/2021,Pelayanan rama dan menjelaskan detail.
weni e.,9.7,12/11/2021,"Hotelnya mantap lah, jangan ditanya lagi. Yang paling mantap dapet setengah harga promo. Makasih traveloka."
Bagus S.,9.7,12/03/2021,"Hotel yang sangat rekomendasi sekali, bersih, makanan nya enak-enak dan pelayanannya ramah-ramah. Terima kasih."
Diah W.,9.7,10/21/2021,"Hotel dan pelayanannya bagus. Kamar bersih. Kolam renangnya juga enak bisa buat anak-anak. Kamar mandi pakai bathub, hanya saja air yang keluar dari selangnya kotor banget. Tpsetelah info ke receptionist nya langsung d tangani dengan baik."
Bagus S.,9.7,12/03/2021,"Hotel yang sangat rekomendasi sekali, bersih, makanan nya enak-enak dan pelayanannya ramah-ramah. Terima kasih."
Diah W.,9.7,10/21/2021,"Hotel dan pelayanannya bagus. Kamar bersih. Kolam renangnya juga enak bisa buat anak-anak. Kamar mandi pakai bathub, hanya saja air yang keluar dari selangnya kotor banget. Tpsetelah info ke receptionist nya langsung d tangani dengan baik."
Andreas T.,9.7,09/13/2021,
Andreas T.,9.7,09/13/2021,
Agustia L. N.,9.7,06/14/2021,
Agustia L. N.,9.7,06/14/2021,
Natal S. M. S.,9.7,04/17/2021,Hampir selalu menginap di hotel ini kalau ke Batam.
Natal S. M. S.,9.7,04/17/2021,Nyaman. Bersih. Sarapannya lumayan enak.
Teuku R. F.,9.7,02/28/2021,pelayanan yang memuaskan dan suasana yang nyaman
Alwi A.,9.7,02/24/2021,
Natal S. M. S.,9.7,04/17/2021,Hampir selalu menginap di hotel ini kalau ke Batam.
Natal S. M. S.,9.7,04/17/2021,Nyaman. Bersih. Sarapannya lumayan enak.
Teuku R. F.,9.7,02/28/2021,pelayanan yang memuaskan dan suasana yang nyaman
Alwi A.,9.7,02/24/2021,
Herik S.,9.7,01/18/2021,
Efnie I.,9.7,01/10/2021,"Everythings are good. Ambiens hotel menyenangkan, staf yang ramah dan really helpful."
Efnie I.,9.7,01/10/2021,"Ambiens hotel menyenangkan, bersih. Staf restorannya baik, ramah, dan really helpful."
Herik S.,9.7,01/18/2021,
Efnie I.,9.7,01/10/2021,"Everythings are good. Ambiens hotel menyenangkan, staf yang ramah dan really helpful."
Efnie I.,9.7,01/10/2021,"Ambiens hotel menyenangkan, bersih. Staf restorannya baik, ramah, dan really helpful."
santi y.,9.7,01/02/2021,"Hotel menyenangkan, sarapan sangat enak, karyawan sangat ramah, kalau ada rezeki lagi saya pasti mengulang menginap di aston. terima kasih."
santi y.,9.7,01/02/2021,"Hotel menyenangkan, sarapan sangat enak, karyawan sangat ramah, kalau ada rezeki lagi saya pasti mengulang menginap di aston. terima kasih."
sukrisni,9.7,01/01/2021,"Menyenangkan, bersih, suasananya nyaman."
sukrisni,9.7,01/01/2021,"Menyenangkan, bersih, suasananya nyaman."
Natal S. M. S.,9.7,12/17/2020,"Hotelnya bersih, bagus, nyaman. Setiap ke Batam hampir pasti menginap disini."
Natal S. M. S.,9.7,12/17/2020,"Hotelnya bersih, bagus, nyaman. Setiap ke Batam hampir pasti menginap disini."
Mr Okta M. T.,9.7,12/01/2020,Bersih dan saat sarapan menerapkan protocol covid 19 restorannya.
Mr Okta M. T.,9.7,12/01/2020,Bersih dan saat sarapan menerapkan protocol covid 19 restorannya.
Nova F.,9.7,Profil ini privat.,Sunggug menyenangkan menginap disini.
Joklapri S.,9.7,11/02/2020,Sangat bagus sekali pelayanannya.
Nova F.,9.7,Profil ini privat.,Sunggug menyenangkan menginap disini.
Joklapri S.,9.7,11/02/2020,Sangat bagus sekali pelayanannya.
Irfan S.,9.7,Profil ini privat.,
Vevi R.,9.7,09/17/2020,Apartemennya 3 room oke. breakfast oke. buat 5 orang. kolam renang bersih. Resepsionist ramah. Satpam apartemen bersahabat. thanks.
Irfan S.,9.7,Profil ini privat.,
Vevi R.,9.7,09/17/2020,Apartemennya 3 room oke. breakfast oke. buat 5 orang. kolam renang bersih. Resepsionist ramah. Satpam apartemen bersahabat. thanks.
Hengky C.,9.7,08/13/2020,
UMI K.,9.7,07/30/2020,"Saya pesan family room. Ruang kamar bersih nyaman tapi diberi connecting door tidak sesuai request saya di hari saya menginap, breakfast menunya biasa-biasa saja, Tidak bisa mengambil sendiri."
Hengky C.,9.7,08/13/2020,
UMI K.,9.7,07/30/2020,"Saya pesan family room. Ruang kamar bersih nyaman tapi diberi connecting door tidak sesuai request saya di hari saya menginap, breakfast menunya biasa-biasa saja, Tidak bisa mengambil sendiri."
Richardo S.,9.7,03/20/2020,
Jenny E. S.,9.7,02/27/2020,"Hotelnya bagus, bersih di lokais yang strategis. makanannya enak-enak."
Richardo S.,9.7,03/20/2020,
Jenny E. S.,9.7,02/27/2020,"Hotelnya bagus, bersih di lokais yang strategis. makanannya enak-enak."
Suliyanti S.,9.7,10/14/2019,"Hotel yang nyaman, bersih, sarapan pagi mantap."
Retno N. M.,9.7,07/18/2019,Kamar seperti di foto. Luas bersih nyaman sarapan enak staf ramah letak strategis.
Suliyanti S.,9.7,10/14/2019,"Hotel yang nyaman, bersih, sarapan pagi mantap."
Retno N. M.,9.7,07/18/2019,Kamar seperti di foto. Luas bersih nyaman sarapan enak staf ramah letak strategis.
Donny D.,9.7,01/09/2019,
Gino h. s.,9.7,01/02/2019,Pelayanan sangat baik dan kamar sesuai dengan yang dipesan.
jenni s.,9.7,12/30/2018,"Penginapan yang recommended buat kegiatan di batam, bersih, pelayanan maksimal dan perlengkapan yang sesuai dengan kelas hotel dan kamar. sarapannya enak."
Donny D.,9.7,01/09/2019,
Gino h. s.,9.7,01/02/2019,Pelayanan sangat baik dan kamar sesuai dengan yang dipesan.
jenni s.,9.7,12/30/2018,"Penginapan yang recommended buat kegiatan di batam, bersih, pelayanan maksimal dan perlengkapan yang sesuai dengan kelas hotel dan kamar. sarapannya enak."
Esther L. L.,9.7,12/20/2018,"Breakfastnya enak-enak, mantul, mantap."
Ismoyo A. P.,9.7,12/16/2018,"Merupakan hotel yang tergolong masih baru di Batam. suasananya nyaman, keamanan hotel juga sangat baik. Untuk akses ke tiap kamar perlu kunci kamar, yang mana ini baik. convention hall lapang, cocok untuk kegiatan meeting. Sangat recommended, kasur empuk dan luas. Mini bar yang terjangkau dan terdapat bathtub di kamar mandi.5-star hotel indeed."
budi c. a. n.,9.7,12/11/2018,"Kamar luas, bersih, nyaman, peredaman suara bagus, channel TV banyak, ada bathubnya, air lancar, menu sarapan lengkap dan enak. Semuanya sesuai dengan standar bintang 4+++."
Vialita O.,9.7,11/20/2018,"Hotel baru berkelas yang sangat nyaman, dekat dengan pusat belanja di Batam.. Fasilitas kamar lengkap dan pelayanan baik. Kualitas makanan dan fasilitas pendukung lainnya sangat baik, serta desain kamar yg cozy dan nyaman. Selain itu pelayanan sesuai dengan kualitas bintang 4 yang ditawarkan, dan ada tambahan ketersediaan shuttle menuju pusat belanja di Batam, sangat cocok bagi pendatang di Batam yang akan berbelanja."
Esther L. L.,9.7,12/20/2018,"Breakfastnya enak-enak, mantul, mantap."
Ismoyo A. P.,9.7,12/16/2018,"Merupakan hotel yang tergolong masih baru di Batam. suasananya nyaman, keamanan hotel juga sangat baik. Untuk akses ke tiap kamar perlu kunci kamar, yang mana ini baik. convention hall lapang, cocok untuk kegiatan meeting. Sangat recommended, kasur empuk dan luas. Mini bar yang terjangkau dan terdapat bathtub di kamar mandi.5-star hotel indeed."
budi c. a. n.,9.7,12/11/2018,"Kamar luas, bersih, nyaman, peredaman suara bagus, channel TV banyak, ada bathubnya, air lancar, menu sarapan lengkap dan enak. Semuanya sesuai dengan standar bintang 4+++."
Vialita O.,9.7,11/20/2018,"Hotel baru berkelas yang sangat nyaman, dekat dengan pusat belanja di Batam.. Fasilitas kamar lengkap dan pelayanan baik. Kualitas makanan dan fasilitas pendukung lainnya sangat baik, serta desain kamar yg cozy dan nyaman. Selain itu pelayanan sesuai dengan kualitas bintang 4 yang ditawarkan, dan ada tambahan ketersediaan shuttle menuju pusat belanja di Batam, sangat cocok bagi pendatang di Batam yang akan berbelanja."
Asrul I. N.,9.7,11/09/2018,Staf sangat ramah dan membantu kami saat ingin mengganti tipe kamar. Suasana hotel sangat nyaman dan bersih.
Asrul I. N.,9.7,11/09/2018,Staf sangat ramah dan membantu kami saat ingin mengganti tipe kamar. Suasana hotel sangat nyaman dan bersih.
OKKY P. P.,9.7,09/15/2018,Hotelnya nyaman dan pegawainya ramah-ramah makanan waktu sarapan mohon di tingkatkan kurang enak.
OKKY P. P.,9.7,09/15/2018,Hotelnya nyaman dan pegawainya ramah-ramah makanan waktu sarapan mohon di tingkatkan kurang enak.
evand c.,9.7,09/04/2018,"Kamarnya bagus, nyaman, mantap."
evand c.,9.7,09/04/2018,"Kamarnya bagus, nyaman, mantap."
iwan,9.7,06/30/2018,"Hotel sangat bagus, nyaman, cuma pelayanan receptionis kurang bagus. Check-in lama kamar menunggu padahal sudah jam 5 sore. Check-out lambat. Tolong ditingkatkan pelayanan."
Elin,9.7,06/29/2018,"Hotel Aston Batam, Merupakan tempat penginapan yang nyaman. Fasilitas yang lengkap membuat banyak pengunjung dari luar yang ingin menginap di hotel aston batam tersebut. Hotel Aston Batam And Residence is the best."
herry j.,9.7,06/25/2018,Terletak di tengah kota dengan tempat parkir yang sangat memuaskan
Yenni A. R.,9.7,06/22/2018,"Handphone suami saya tinggal dikamar, kita sampai 2 kali bolak balik hotel baru handphonenya bisa kembali. Tapi semuanya bagus."
iwan,9.7,06/30/2018,"Hotel sangat bagus, nyaman, cuma pelayanan receptionis kurang bagus. Check-in lama kamar menunggu padahal sudah jam 5 sore. Check-out lambat. Tolong ditingkatkan pelayanan."
Elin,9.7,06/29/2018,"Hotel Aston Batam, Merupakan tempat penginapan yang nyaman. Fasilitas yang lengkap membuat banyak pengunjung dari luar yang ingin menginap di hotel aston batam tersebut. Hotel Aston Batam And Residence is the best."
herry j.,9.7,06/25/2018,Terletak di tengah kota dengan tempat parkir yang sangat memuaskan
Yenni A. R.,9.7,06/22/2018,"Handphone suami saya tinggal dikamar, kita sampai 2 kali bolak balik hotel baru handphonenya bisa kembali. Tapi semuanya bagus."
Ismed S.,9.7,06/16/2018,"Sangat puas, pelayanan bagus."
Guan M.,9.7,06/14/2018,"Hotel sangat bersih, nyaman dan dekat kemana-mana, hotel yang sangat menjadi disarankan untuk menginap."
Drg S. H.,9.7,06/08/2018,Sangat baik dan memuaskan.
agil d.,9.7,06/08/2018,"Bagus, pelayanan dan variasi makanan oke"
Berman S.,9.7,06/07/2018,"Hotelnya baru, jadi relatif semua bagus, pertahankan serta dapat lebih ditingkatkan lagi."
Ismed S.,9.7,06/16/2018,"Sangat puas, pelayanan bagus."
Guan M.,9.7,06/14/2018,"Hotel sangat bersih, nyaman dan dekat kemana-mana, hotel yang sangat menjadi disarankan untuk menginap."
Drg S. H.,9.7,06/08/2018,Sangat baik dan memuaskan.
agil d.,9.7,06/08/2018,"Bagus, pelayanan dan variasi makanan oke"
Berman S.,9.7,06/07/2018,"Hotelnya baru, jadi relatif semua bagus, pertahankan serta dapat lebih ditingkatkan lagi."
bobby a.,9.7,06/01/2018,"Sarapannya enak, lokasi strategis, spring bednya empuk, kamarnya besar"
bobby a.,9.7,06/01/2018,"Sarapannya enak, lokasi strategis, spring bednya empuk, kamarnya besar"
Saply,9.7,04/14/2018,Sesuai ekspatasi nyaman aman pkoknya mantap
BANGJO,9.7,04/03/2018,Tempat bagus dan lokasi strategis cocok untuk bisnis.
tri k. w.,9.7,04/03/2018,"Sangat nyaman, ramah, dan menyenangkan."
Muhamad Z.,9.7,03/31/2018,"Suasana lobby, kamar, restoran sarapan pagi memuaskan, cuma saya merasa tempat tidur agak keras ? yang lain ok"
Saply,9.7,04/14/2018,Sesuai ekspatasi nyaman aman pkoknya mantap
BANGJO,9.7,04/03/2018,Tempat bagus dan lokasi strategis cocok untuk bisnis.
tri k. w.,9.7,04/03/2018,"Sangat nyaman, ramah, dan menyenangkan."
Muhamad Z.,9.7,03/31/2018,"Suasana lobby, kamar, restoran sarapan pagi memuaskan, cuma saya merasa tempat tidur agak keras ? yang lain ok"
Yessy F. U.,9.7,Profil ini privat.,"Pelayanan baik dan ramah, fasilitas oke sesuai bintang dan sarapan nya enak."
Yessy F. U.,9.7,Profil ini privat.,"Pelayanan baik dan ramah, fasilitas oke sesuai bintang dan sarapan nya enak."
susanto a.,9.7,01/23/2018,Hotel keluruhn ok dan bersih. cumn karena masih belum selesai total masih ada renovasi jadi pagi pagi sudah kedengeran suara renovasi. tapi rekomen banget sih untuk kesini lagi
daeng f.,9.7,01/18/2018,Top sangat luar biasa pelayanan yang diberikan
SRI R. A.,9.7,01/14/2018,Hotel yang sangat recommended buat di jadikan tempat menginap. nyaman banget.
Setiana,9.7,01/12/2018,"Masih baru, luas, bersih, pelayanan cepat.."
susanto a.,9.7,01/23/2018,Hotel keluruhn ok dan bersih. cumn karena masih belum selesai total masih ada renovasi jadi pagi pagi sudah kedengeran suara renovasi. tapi rekomen banget sih untuk kesini lagi
daeng f.,9.7,01/18/2018,Top sangat luar biasa pelayanan yang diberikan
SRI R. A.,9.7,01/14/2018,Hotel yang sangat recommended buat di jadikan tempat menginap. nyaman banget.
Setiana,9.7,01/12/2018,"Masih baru, luas, bersih, pelayanan cepat.."
Leny L. S.,9.7,12/04/2017,"Bersih, kamar suite nya besar banget"
Leny L. S.,9.7,12/04/2017,"Bersih, kamar suite nya besar banget"
Dewi K.,9.7,11/26/2017,"Hotelnya enak banget, makanannya jg, tapi pintu masuk ada 2 yang di jaga cuma 1 jadi pas di drop taksi tidak ada yang buka in padahal kondisi lagi gendong bayi, tp untuk keseluruhan sip lah"
Budiana,9.7,11/13/2017,"Mantap, kamarnya besar dan bersih"
Dewi K.,9.7,11/26/2017,"Hotelnya enak banget, makanannya jg, tapi pintu masuk ada 2 yang di jaga cuma 1 jadi pas di drop taksi tidak ada yang buka in padahal kondisi lagi gendong bayi, tp untuk keseluruhan sip lah"
Budiana,9.7,11/13/2017,"Mantap, kamarnya besar dan bersih"
sugiyati s.,9.7,10/24/2017,"Secara umum fasilitas yang tersedia memuaskan, hanya sedikit saja masukan kami pada saat check in atau check out agar lebih cepat pelayanan nya, terima kasih"
sugiyati s.,9.7,10/24/2017,"Secara umum fasilitas yang tersedia memuaskan, hanya sedikit saja masukan kami pada saat check in atau check out agar lebih cepat pelayanan nya, terima kasih"
herlin a.,9.7,10/08/2017,Is the best semuanya makanan pelayanan suasana keren
Deden I. L.,9.7,10/05/2017,Hotelnya nyaman bersih dan dekat kemana mana
herlin a.,9.7,10/08/2017,Is the best semuanya makanan pelayanan suasana keren
Deden I. L.,9.7,10/05/2017,Hotelnya nyaman bersih dan dekat kemana mana
Wahyu W.,9.7,09/27/2017,"Hotelnya mewah, bersih, nyaman & sangat oke pelayanannya. Untuk fasilitasnya memuaskan sekali."
Sunah,9.7,03/02/2023,"Kamarnya sangat bersih dan nyaman, staf hotel adalah orang yang sangat baik, sangat membantu."
Wahyu W.,9.7,09/27/2017,"Hotelnya mewah, bersih, nyaman & sangat oke pelayanannya. Untuk fasilitasnya memuaskan sekali."
